hour,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
0,0.8174,0.8583,0.8202,0.7684,0.7657,0.7139,0.812,0.782,0.7738,0.7575,0.8038,0.7875,0.7902,0.7793
1,0.8283,0.8501,0.8202,0.7711,0.7657,0.7166,0.8174,0.7902,0.7956,0.7575,0.8202,0.7984,0.8202,0.7902
2,0.8174,0.812,0.8038,0.7384,0.7411,0.6975,0.8256,0.7902,0.7766,0.7738,0.8229,0.7984,0.8093,0.8011
3,0.8283,0.782,0.7929,0.7357,0.7384,0.6785,0.8011,0.7902,0.7847,0.7602,0.8147,0.8147,0.8093,0.8093
4,0.8338,0.7984,0.8011,0.752,0.7466,0.6948,0.8174,0.8093,0.7902,0.7629,0.8256,0.8229,0.8202,0.8093
5,0.8229,0.812,0.7956,0.7684,0.752,0.7084,0.8147,0.8011,0.7902,0.7875,0.842,0.8256,0.8283,0.8256
6,0.8065,0.8011,0.8011,0.7384,0.7575,0.7166,0.7984,0.7766,0.7738,0.7575,0.8011,0.7956,0.7929,0.7956
7,0.8147,0.7766,0.8229,0.7302,0.7793,0.7057,0.8202,0.7738,0.7984,0.7629,0.8147,0.7902,0.7929,0.7929
8,0.8202,0.7411,0.8529,0.7956,0.8174,0.7684,0.8202,0.8011,0.812,0.782,0.8256,0.812,0.7984,0.8147
9,0.8311,0.7629,0.8856,0.7984,0.8174,0.7711,0.842,0.8038,0.8202,0.7956,0.8283,0.8065,0.7984,0.8229
10,0.8202,0.7738,0.8665,0.7956,0.8147,0.7493,0.8256,0.7929,0.8065,0.782,0.8147,0.7984,0.7984,0.8093
11,0.8174,0.7411,0.8747,0.7766,0.8093,0.7275,0.8283,0.7929,0.7984,0.7657,0.8147,0.8093,0.8065,0.7984
12,0.812,0.7302,0.861,0.7357,0.7902,0.7112,0.8202,0.7847,0.7847,0.7629,0.8174,0.7956,0.7956,0.7875
13,0.8229,0.7275,0.812,0.7357,0.7766,0.6894,0.8038,0.7657,0.7875,0.7548,0.812,0.8038,0.8011,0.7902
14,0.8038,0.6921,0.8338,0.7357,0.7629,0.6921,0.8093,0.7493,0.7847,0.7439,0.812,0.8093,0.7956,0.8011
15,0.812,0.703,0.8501,0.752,0.7956,0.7084,0.8202,0.7602,0.7956,0.7602,0.8202,0.7902,0.7875,0.8011
16,0.8093,0.7248,0.8719,0.782,0.8011,0.733,0.8311,0.7902,0.7929,0.7657,0.8365,0.7902,0.7956,0.7902
17,0.7956,0.7684,0.8501,0.7902,0.7929,0.7575,0.8174,0.7902,0.7847,0.7684,0.8038,0.7902,0.7875,0.7929
18,0.7929,0.7602,0.861,0.8202,0.8229,0.7847,0.8093,0.8011,0.7984,0.7902,0.8147,0.7847,0.7875,0.8038
19,0.7929,0.7657,0.8965,0.8283,0.8202,0.782,0.8365,0.7984,0.782,0.782,0.812,0.8065,0.7984,0.7875
20,0.782,0.7984,0.8801,0.8093,0.8065,0.7466,0.8392,0.782,0.7847,0.7629,0.8147,0.7956,0.8011,0.7875
21,0.8065,0.8529,0.8774,0.8011,0.7956,0.7847,0.8365,0.7711,0.7875,0.7793,0.8038,0.7711,0.7711,0.7766
22,0.8065,0.8883,0.8747,0.8229,0.8202,0.782,0.8065,0.7956,0.7847,0.7793,0.7902,0.7847,0.7684,0.7684
23,0.7984,0.8801,0.861,0.7956,0.7929,0.7466,0.812,0.7793,0.7929,0.7684,0.7875,0.7738,0.7738,0.7684
