hour,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
0,0.2153,0.2207,0.2425,0.1935,0.1771,0.1635,0.2398,0.2071,0.1935,0.1907,0.2098,0.2071,0.1962,0.2071
1,0.2262,0.2153,0.2071,0.2125,0.1771,0.1798,0.1989,0.2262,0.2016,0.1771,0.2044,0.2153,0.2016,0.2071
2,0.2153,0.2016,0.2153,0.2098,0.188,0.1553,0.2125,0.2153,0.2098,0.1689,0.2071,0.2125,0.1962,0.1989
3,0.2207,0.1771,0.2098,0.1771,0.188,0.1635,0.2098,0.1989,0.2016,0.1935,0.218,0.2153,0.2044,0.1907
4,0.2289,0.1962,0.2234,0.1499,0.1744,0.1608,0.218,0.1962,0.1826,0.1798,0.2316,0.2207,0.2234,0.2044
5,0.2234,0.1962,0.2016,0.158,0.1744,0.1444,0.2071,0.1826,0.188,0.1907,0.2207,0.2153,0.2153,0.2044
6,0.1989,0.1962,0.2016,0.1935,0.1798,0.1471,0.2153,0.2071,0.2016,0.1798,0.2398,0.218,0.2316,0.2316
7,0.2262,0.2016,0.2534,0.1935,0.1935,0.1771,0.2207,0.1853,0.1962,0.1935,0.1989,0.1989,0.2234,0.2125
8,0.2234,0.1417,0.2371,0.1962,0.1717,0.1526,0.2098,0.2125,0.1989,0.1907,0.2071,0.2262,0.2207,0.2071
9,0.2153,0.1635,0.2289,0.1989,0.1907,0.1962,0.1907,0.2044,0.1907,0.188,0.2098,0.2071,0.2044,0.1962
10,0.2044,0.1226,0.1935,0.1608,0.1717,0.1771,0.1989,0.1798,0.1798,0.1853,0.2125,0.2098,0.2071,0.1989
11,0.2125,0.1335,0.188,0.1635,0.1362,0.1471,0.1935,0.1907,0.1798,0.1744,0.218,0.218,0.2234,0.2044
12,0.2234,0.1662,0.2425,0.2098,0.1907,0.1635,0.1989,0.2044,0.188,0.1826,0.2425,0.2316,0.2371,0.2289
13,0.2289,0.1308,0.2262,0.1744,0.1853,0.1826,0.218,0.1826,0.1989,0.1798,0.2125,0.2289,0.2234,0.218
14,0.218,0.158,0.218,0.1826,0.1907,0.1853,0.2016,0.2016,0.1853,0.1962,0.2262,0.2234,0.2071,0.2125
15,0.2071,0.1771,0.188,0.1853,0.1798,0.158,0.1962,0.1935,0.1935,0.1935,0.2071,0.2125,0.1907,0.2044
16,0.2262,0.1826,0.2234,0.1771,0.188,0.2016,0.2289,0.2153,0.1962,0.2125,0.2125,0.2125,0.2098,0.2098
17,0.188,0.1989,0.2262,0.1798,0.2044,0.1744,0.2016,0.1907,0.1989,0.1907,0.2098,0.218,0.2016,0.2016
18,0.2098,0.1553,0.218,0.1662,0.1499,0.1471,0.1962,0.1826,0.1935,0.1798,0.2044,0.1907,0.2071,0.2071
19,0.2044,0.1853,0.2289,0.1853,0.1962,0.1771,0.2071,0.1744,0.1962,0.1935,0.218,0.2071,0.218,0.218
20,0.2098,0.158,0.2425,0.1717,0.1689,0.1635,0.2071,0.1935,0.188,0.1826,0.2016,0.2071,0.1907,0.1935
21,0.2016,0.1989,0.2589,0.188,0.1798,0.1689,0.2044,0.1798,0.1798,0.1771,0.1853,0.1935,0.1907,0.188
22,0.2153,0.2643,0.2916,0.2207,0.2153,0.1907,0.2343,0.2016,0.2016,0.1907,0.2071,0.1989,0.1989,0.2071
23,0.218,0.2262,0.2289,0.2262,0.2044,0.1771,0.248,0.1935,0.2153,0.2153,0.2452,0.2343,0.2289,0.2153
